Model Name,Loss,Accuracy,Precision,Recall
Logistic Regression,0.4335861237706987,0.8513513513513513,0.829374405461362,1.0
Logistic Regression,0.4291035472226643,0.8513513513513513,0.829374405461362,1.0
Logistic Regression,0.4076658256333774,0.8513513513513513,0.829374405461362,1.0
Logistic Regression,0.4227185772863757,0.8513513513513513,0.829374405461362,1.0
Logistic Regression,0.4167790679927642,0.8513513513513513,0.829374405461362,1.0
Logistic Regression,0.416686352305183,0.8513513513513513,0.829374405461362,1.0
Logistic Regression,0.4193877656222702,0.8513513513513513,0.829374405461362,1.0
Logistic Regression,0.4220841291337315,0.8513513513513513,0.829374405461362,1.0
Logistic Regression,0.4291863188029352,0.8513513513513513,0.829374405461362,1.0
Logistic Regression,0.4202572368559844,0.8513513513513513,0.829374405461362,1.0
